"timestamp","open","high","low","close","volume"
1515669120,"13356.7","13369.3","13312.5","13319","17.428521"
1515669180,"13319","13319","13319","13319","1.8623945"
1515669240,"13319","13369.3","13319","13346.2","15.199357"
1515669300,"13346.3","13346.3","13346.3","13346.3","2.84795699"
1515669360,"13346.3","13346.3","13346.3","13346.3","3.89431249"
1515669420,"13346.3","13346.3","13273","13273.8","15.440751"
1515669480,"13273","13280.3","13258.2","13274.8","9.4187515"
1515669540,"13274.8","13274.8","13230","13230","6.40760249"
1515669600,"13231.7","13311.9","13231.7","13311.9","5.42991"
1515669660,"13311.9","13311.9","13274.4","13274.4","3.66766899"
1515669720,"13274.4","13294.4","13260.6","13294.4","8.16894049"
1515669780,"13294.4","13348.2","13294.4","13348.2","3.33379949"
1515669840,"13348.2","13365.9","13348","13348","10.53634299"
1515669900,"13348","13348","13318.8","13321.3","7.48677299"
1515669960,"13324.2","13332.4","13310.1","13311","1.93644199"
1515670020,"13311","13333.9","13311","13322.1","5.20261699"
1515670080,"13322.1","13322.1","13322.1","13322.1","1.89091799"
1515670140,"13322.1","13348.2","13322.1","13330","1.85518149"
1515670200,"13329.8","13329.8","13291.8","13292.1","5.07042649"
1515670260,"13292.1","13292.1","13292.1","13292.1","5.2603065"
1515670320,"13292.1","13292.1","13292.1","13292.1","4.03608799"
1515670380,"13292.1","13292.1","13238","13246.8","8.39550799"
1515670440,"13246.8","13246.8","13133.5","13229.4","4.7109315"
1515670500,"13229.4","13235.2","13204.4","13218.4","8.05665349"
1515670560,"13216.9","13216.9","13178.9","13178.9","4.5160915"
1515670620,"13178.9","13178.9","13154.5","13178.8","6.085"
1515670680,"13178.8","13178.8","13146.3","13167.9","8.896484"
1515670740,"13167.9","13192","13167.9","13192","9.750028"
1515670800,"13192","13246.8","13192","13246.8","5.41750849"
1515670860,"13246.6","13285.7","13246.6","13278.9","5.326137"
1515670920,"13285.7","13319.2","13285.7","13299","9.866813"
1515670980,"13299","13359.3","13298.6","13357.7","13.40979249"
1515671040,"13357.7","13451.3","13357.7","13428.3","7.76136199"
1515671100,"13428.3","13437.2","13428.3","13437.2","9.02027049"
1515671160,"13437.2","13437.2","13408.8","13437.2","9.86443099"
1515671220,"13437.2","13469.7","13437.2","13469.7","5.4247445"
1515671280,"13469.7","13493.1","13468","13468","12.29122949"
1515671340,"13468","13482.1","13468","13482.1","8.2387595"
1515671400,"13482.1","13482.1","13482.1","13482.1","5.254462"
1515671460,"13482.1","13493.1","13482.1","13493.1","4.3375905"
1515671520,"13498.4","13519.3","13498.4","13515.5","12.11879149"
1515671580,"13515.5","13554.5","13515.5","13517.5","14.3001195"
1515671640,"13517.5","13524.2","13485.1","13509.1","31.455409"
1515671700,"13508.8","13508.8","13435.1","13436.2","11.7275295"
1515671760,"13436.2","13447","13406","13446.1","15.57206349"
1515671820,"13446.1","13446.1","13434.7","13434.7","17.75356099"
1515671880,"13445.9","13463.4","13440.1","13451.9","7.05885199"
1515671940,"13467.3","13497.7","13463.4","13463.5","6.19408299"
1515672000,"13467","13489.8","13454.9","13473.5","27.49336149"
1515672060,"13489.8","13492.9","13460","13487.1","17.96473699"
1515672120,"13484.4","13490","13484.4","13489.9","8.381602"
